SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE
XPO5,BPIFB2,-0.08536568238517579,0.008407127561526041
XPO5,BPIFB6,-0.10543377579521224,0.001122334417204937
XPO5,BPTF,0.1107196342774553,0.0006210810125036392
XPO5,BRCA2,0.13899885441515136,1.6773069555756937e-05
XPO5,BRCC3,0.10925877631032518,0.0007333184203809718
XPO5,BRD1,0.10164417511195607,0.0016883506501083204
XPO5,BRD2,0.13458563899644274,3.098763117649252e-05
XPO5,BRD4,0.09768956344269626,0.0025493457229712
XPO5,BRD9,0.10223643456512058,0.0015853486285491583
XPO5,BRDT,-0.14626459843237322,5.85990809758081e-06
XPO5,BRF2,-0.16692878388571228,2.2173829659825504e-07
XPO5,BRI3BP,0.1082905108565364,0.0008177798905509751
XPO5,BRIP1,0.12938284934001973,6.237602156208686e-05
XPO5,BRMS1L,0.08642605020374283,0.007627642992647767
XPO5,BSCL2,0.1003138642705618,0.0019424908000547577
XPO5,BSPH1,-0.10456840231631673,0.0012334579565269556
XPO5,BTAF1,0.12468747779555958,0.00011470425442328079
XPO5,BTF3,-0.0963624702889629,0.0029180844343203293
XPO5,BUB1,-0.12581033838070066,9.934362688588835e-05
XPO5,BUB1B,-0.17950658559195615,2.4517186102709723e-08
XPO5,BUB3,0.19684227698939222,9.039000121033749e-10
XPO5,BUD13,0.1666414988280167,2.3274206044771524e-07
XPO5,BUD23,-0.18153563721589067,1.6929742869451968e-08
XPO5,C10orf90,0.08953050227495998,0.005703766090315203
XPO5,C11orf16,0.20211852963625906,3.1112229977240277e-10
XPO5,C11orf58,0.13415753032806,3.2855979588511005e-05
XPO5,C12orf54,-0.10619063699913453,0.0010327988444946777
XPO5,C14orf119,0.08866068049600614,0.006193090525344133
XPO5,C15orf48,0.10964968716060877,0.000701571309351113
XPO5,C16orf95,0.14204265279022033,1.0864045614908941e-05
XPO5,C17orf107,0.21606638549649923,1.610218907629719e-11
XPO5,C17orf49,0.13484578779284448,2.9902008582177493e-05
XPO5,C17orf50,0.13398385463564286,3.364398906069681e-05
XPO5,C17orf58,0.15782414966194983,9.88626419284853e-07
XPO5,C18orf54,0.09338807840504278,0.003927072185185561
XPO5,C19orf44,0.1071080064596262,0.0009331341913524854
XPO5,C1QBP,0.13344378160463652,3.621054494171371e-05
XPO5,C1QL2,-0.12029976836593646,0.0001988828772410429
XPO5,C1QTNF12,0.14491674766873786,7.149917116328314e-06
XPO5,C1RL,0.0945909079226121,0.0034860461155021057
XPO5,C1orf109,0.2908664669423411,5.115691562211555e-20
XPO5,C1orf127,0.13922569804317222,1.6243876179013098e-05
XPO5,C1orf162,-0.15126162323665615,2.7593058052149102e-06
XPO5,C1orf210,-0.09335976105420983,0.003938038977401896
XPO5,C1orf35,0.10841143751139307,0.0008067598504707257
XPO5,C1orf43,0.09864799586227532,0.00231006611706012
XPO5,C1orf53,0.13883756854605808,1.7159260645912154e-05
XPO5,C1orf56,0.12296146623355943,0.00014274023767692307
XPO5,C1orf74,0.09147749560329642,0.004732367968823686
XPO5,C20orf27,-0.11338671606197066,0.0004562584431785735
XPO5,C21orf58,0.1133309156069508,0.00045924308931124673
XPO5,C21orf91,0.08540616965862986,0.008376105869294347
XPO5,C22orf23,0.11053266011145388,0.0006344976181411311
XPO5,C22orf39,0.10767364340053891,0.0008761970202464238
XPO5,C22orf46,0.11980723988241121,0.00021131713406327153
XPO5,C2CD4C,0.10524945806157389,0.001145197849668317
XPO5,C2orf50,0.09806069629806277,0.0024541257167380527
XPO5,C2orf68,0.12097913643259017,0.00018285468999389476
XPO5,C2orf69,0.10746404611914986,0.0008969092168551544
XPO5,C3orf62,0.08784064725006067,0.00668862935298029
XPO5,C3orf80,0.11723330972055465,0.0002890410170811123
XPO5,C4orf3,0.1083915980401981,0.0008085583347841822
XPO5,C4orf46,0.08363269758134084,0.009834964825428137
XPO5,C5orf22,0.1719123352216801,9.44545735199978e-08
XPO5,C5orf51,0.09661584609992842,0.0028441347866846396
XPO5,C6orf141,0.17875063260355772,2.811380480845933e-08
XPO5,C6orf15,0.08357294561518183,0.009887830620004713
XPO5,C6orf226,0.1692855740071452,1.4856760081916457e-07
XPO5,C6orf47,0.09804959773257972,0.0024569254404490245
XPO5,C8A,-0.1255133188969251,0.00010320651069630331
XPO5,C8orf33,0.12299086834245586,0.00014221288239269118
XPO5,C8orf76,0.1375062006299603,2.0686537946743027e-05
XPO5,C8orf82,0.1250363667562266,0.00010970699456743975
XPO5,C8orf86,-0.08466660927789545,0.008959186153884236
XPO5,C9orf116,0.08429245267804501,0.009267745795450429
XPO5,C9orf43,0.10659525226832994,0.0009876864933426898
XPO5,C9orf57,-0.10730719413696146,0.0009127045754906152
XPO5,C9orf78,-0.11638443247124636,0.0003200571849551915
XPO5,CA10,-0.1623981105083713,4.7139209899611363e-07
XPO5,CA11,0.08769986288302377,0.006777196282041545
XPO5,CABP4,-0.11294403200627474,0.0004804422361845227
XPO5,CABS1,-0.08953091930873819,0.0057035400825346605
XPO5,CABYR,-0.0838262159421073,0.009665470483837561
XPO5,CACNA1E,-0.08701371555536501,0.0072240901540036335
XPO5,CACNB3,-0.10631597449228258,0.0010186248765201497
XPO5,CACNG5,-0.08893408871321919,0.006035362752880249
XPO5,CACTIN,0.08901896328537924,0.005987139270164301
XPO5,CACUL1,0.09244531305709452,0.0043074624067918595
XPO5,CAD,0.10700239666121314,0.0009441368316667525
XPO5,CALCRL,-0.10813203182308223,0.0008324332336456097
XPO5,CALHM4,0.1002240092609613,0.001960860992285802
XPO5,CALML4,0.08393432704642342,0.009571916909902294
XPO5,CALN1,-0.13345090715332286,3.6175505649329e-05
XPO5,CAMK2G,0.12709468429318968,8.4155586331282e-05
XPO5,CAMKV,-0.09694650630564068,0.0027501989131532008
XPO5,CAP1,0.15688318082782607,1.148375306706523e-06
XPO5,CAPN11,0.10799148704336242,0.0008456314074042274
XPO5,CAPN15,0.13108619248676118,4.974922386269387e-05
XPO5,CAPZA1,-0.10245540339093864,0.001548752774296882
XPO5,CARD6,0.09198398884486762,0.004505493435684693
XPO5,CARD8,-0.12082914135301927,0.00018628553696236895
XPO5,CARM1,0.17929544813488366,2.5474179242210806e-08
XPO5,CARMIL1,0.12794469830489386,7.533883302613169e-05
XPO5,CARMIL2,-0.12794814895012815,7.530488732268672e-05
XPO5,CARS1,-0.16243101684986602,4.688516912509743e-07
XPO5,CARS2,0.16360845307329047,3.8614844478469987e-07
XPO5,CASC3,0.10307632904572178,0.0014491612369116234
XPO5,CASKIN2,0.08439644401258384,0.00918104997127035
XPO5,CASP10,-0.12809614892472285,7.386245591063633e-05
XPO5,CASR,-0.10127330581944849,0.0017559426976628684
XPO5,CAST,0.15184065377717387,2.524703220660045e-06
XPO5,CASTOR2,0.10808203328558466,0.0008371064396814829
XPO5,CASTOR3,0.14702620052172172,5.232680541631937e-06
XPO5,CATSPERG,0.12282554816650616,0.00014520204511459748
XPO5,CAV1,-0.09244327359920783,0.0043083202562414795
XPO5,CAV2,0.0855778578561753,0.008245689813179883
XPO5,CBFB,0.10289076856330172,0.001478288151487076
XPO5,CBLIF,-0.08399506293825933,0.009519713721462956
XPO5,CBR1,0.10078599211376245,0.00184853385870893
XPO5,CBR3,0.08810544638419442,0.006524855096669471
XPO5,CBR4,0.09019531394494751,0.005353551094886803
XPO5,CBWD2,-0.12002036901564811,0.00020584963141048415
XPO5,CBX1,-0.09089408250579407,0.005006456498536742
XPO5,CBX6,0.11016380019529497,0.0006617584776157874
XPO5,CC2D1B,0.11988239426338931,0.00020937380572180777
XPO5,CCAR1,0.09099522929500196,0.004957933961903452
XPO5,CCDC115,0.2926799660649626,2.935249652486315e-20
XPO5,CCDC116,-0.08774537072763079,0.006748453035800472
XPO5,CCDC137,0.12266403276231476,0.0001481793807748966
XPO5,CCDC14,0.0963860545853124,0.0029111279534575663
XPO5,CCDC142,0.08387409212077336,0.009623941060415002
XPO5,CCDC152,-0.09398475333653362,0.0037023372863065162
XPO5,CCDC158,-0.09107465627067007,0.004920129032070357
XPO5,CCDC167,0.08800921921671709,0.006583948903241131
XPO5,CCDC174,-0.1849903722846543,8.925206134345361e-09
XPO5,CCDC175,0.0903290144650069,0.005285506334247558
XPO5,CCDC189,0.15530442385237037,1.4735749275957197e-06
